interval_start,entity,low_senti,avg_senti,high_senti,num_datapoints
2019-05-30 22:29:00 UTC,#Basket,0.4344,0.434,0.4344,1
2019-05-30 22:16:00 UTC,Kevin Durant,-0.6249,-0.46,-0.296,2
2019-05-30 22:22:00 UTC,Kevin Durant,-0.1531,0.271,0.5106,5
2019-05-30 22:22:00 UTC,#Warriors,0.2732,0.377,0.5859,3
2019-05-30 22:07:00 UTC,Kevon Looney,0.4019,0.402,0.4019,1
2019-05-30 22:07:00 UTC,Steve Kerr,0.1779,0.347,0.4404,3
2019-05-30 22:32:00 UTC,#NBAFinals,-0.7717,0.429,0.8553,39
2019-05-30 22:05:00 UTC,Kevin Durant,-0.5719,-0.009,0.5106,4
2019-05-30 22:16:00 UTC,Klay Thompson,0.5106,0.597,0.7269,5
2019-05-30 22:29:00 UTC,#Basketball,0.4344,0.434,0.4344,1
2019-05-30 22:23:00 UTC,Kawhi Leonard,0.4404,0.467,0.4939,2
2019-05-30 22:06:00 UTC,#WeTheNorth,-0.6239,0.469,0.9133,18
2019-05-30 22:12:00 UTC,#GoldenState,-0.5983,-0.07,0.4588,2
2019-05-30 22:12:00 UTC,Draymond Green,-0.1513,0.497,0.6808,5
2019-05-30 22:01:00 UTC,Draymond Green,-0.6124,-0.612,-0.6124,2
2019-05-30 22:27:00 UTC,NBA,-0.8176,0.221,0.8934,118
2019-05-30 22:17:00 UTC,NBA Finals,-0.5574,0.427,0.9006,26
2019-05-30 22:31:00 UTC,#Game,0.3612,0.545,0.7599,6
2019-05-30 22:22:00 UTC,#NBAFinals,-0.296,0.505,0.92,30
2019-05-30 22:03:00 UTC,Toronto,-0.8527,0.244,0.8679,42
2019-05-30 22:27:00 UTC,#WeTheNorth,-0.3331,0.493,0.8555,17
2019-05-30 22:31:00 UTC,Kevin Durant,-0.0516,0.264,0.5106,3
2019-05-30 22:11:00 UTC,NBA Finals,-0.5574,0.391,0.8622,15
2019-05-30 22:06:00 UTC,Toronto,-0.8225,0.329,0.9042,54
2019-05-30 22:23:00 UTC,Klay Thompson,0.5106,0.565,0.7269,4
2019-05-30 22:20:00 UTC,Steve Kerr,0.1779,0.431,0.5859,5
2019-05-30 22:29:00 UTC,Stephen Curry,-0.25,0.198,0.5423,6
2019-05-30 22:17:00 UTC,#Raptors,-0.4767,0.425,0.7906,9
2019-05-30 22:12:00 UTC,DeMarcus Cousins,-0.1513,0.321,0.6808,15
2019-05-30 22:00:00 UTC,#Game,-0.4404,0.011,0.4939,5
