interval_start,entity,low_senti,avg_senti,high_senti,num_datapoints
2019-06-03 01:53:00 UTC,Serge Ibaka,-0.0772,-0.077,-0.0772,1
2019-06-03 01:36:00 UTC,Jeremy Lin,0.5574,0.557,0.5574,1
2019-06-03 01:33:00 UTC,Eric Moreland,0.6369,0.637,0.6369,1
2019-06-03 02:16:00 UTC,Serge Ibaka,-0.4019,-0.012,0.5927,3
2019-06-03 01:23:00 UTC,#KevinDurant,0.7317,0.732,0.7317,1
2019-06-03 02:20:00 UTC,Marcus Derrickson,0.4927,0.493,0.4927,1
2019-06-03 01:56:00 UTC,Alfonzo McKinnie,0.3612,0.361,0.3612,1
2019-06-03 01:21:00 UTC,Nav Bhatia,0.2732,0.351,0.4278,2
2019-06-03 02:02:00 UTC,Jeremy Lin,-0.6908,-0.059,0.5719,2
2019-06-03 02:39:00 UTC,Jeremy Lin,0.3327,0.585,0.8885,4
2019-06-03 02:45:00 UTC,#Player,0.4404,0.678,0.9153,2
2019-06-03 02:35:00 UTC,#Player,0.8519,0.852,0.8519,1
2019-06-03 02:31:00 UTC,#StephCurry,0.2023,0.202,0.2023,1
2019-06-03 03:07:00 UTC,#Player,0.7964,0.796,0.7964,1
2019-06-03 03:17:00 UTC,Jonas Jerebko,-0.2942,-0.294,-0.2942,1
2019-06-03 02:36:00 UTC,#Player,0.9001,0.912,0.9236,2
2019-06-03 03:35:00 UTC,Jordan Bell,0.8209,0.821,0.8209,1
2019-06-03 02:26:00 UTC,Serge Ibaka,0.2732,0.273,0.2732,1
2019-06-03 03:26:00 UTC,#KevinDurant,0.2732,0.273,0.2732,1
2019-06-03 02:41:00 UTC,Jeremy Lin,-0.4648,0.303,0.836,7
2019-06-03 03:21:00 UTC,#StephCurry,0.5187,0.519,0.5187,1
2019-06-03 03:11:00 UTC,Jordan Bell,0.6808,0.681,0.6808,1
2019-06-03 02:43:00 UTC,Jeremy Lin,-0.4648,-0.062,0.34,2
2019-06-03 03:31:00 UTC,#StephCurry,0.5187,0.519,0.5187,1
2019-06-03 02:52:00 UTC,#StephCurry,0.128,0.319,0.5106,2
2019-06-03 02:55:00 UTC,Nav Bhatia,-0.246,-0.246,-0.246,1
2019-06-03 03:08:00 UTC,Jeremy Lin,0.7096,0.71,0.7096,1
2019-06-03 02:35:00 UTC,Jeremy Lin,0.34,0.34,0.34,1
2019-06-03 02:29:00 UTC,Jonas Jerebko,-0.6249,-0.625,-0.6249,1
2019-06-03 03:17:00 UTC,#StephCurry,0.4404,0.467,0.5187,3
